招聘标题,公司名称,工作地点,薪资,链接,工作内容
总监助理/项目助理,广东首辅科技有限公司,广州-番禺区,3-7千/月,http://jobs.51job.com/guangzhou-pyq/99559541.html?s=01&t=0,1、负责科技项目的解读、研究、条件把控，为客户提供项目申报政策咨询工作；2、负责科技项目材料的收集、撰写、整理、报送工作；3、跟踪项目的审批进度，及时反馈给公司及客户；4、解答申报过程中客户提出的疑问，维护良好客户关系；5、协助总监处理日常管理事务；6、岗位发展方向为项目负责人。任职要求：1、本科以上学历，财会、法律等专业背景优先；2、逻辑思维清晰，较强的文字撰写功底、口头表达能力及语言沟通能力；3、一年以上工作经验，优秀应届毕业亦可考虑。
销售行政专员,北京天鸽信诚科技发展有限公司,北京-朝阳区,0.5-1万/月,http://jobs.51job.com/beijing-cyq/99480774.html?s=01&t=0,1、协调技术支持与客户主管的关系。2、编制工作计划及工作报告。3、对销售计划、市场费用、人员费用进行统计分析。4、编制客户档案及定期升级。5、负责年度客户满意度的调查与分析。6、负责业务考勤及考核工作。7、完成上级交办的其他工作任务。任职资格：1、大专以上学历，营销相关专业优先。2、具有两年以上销售业务相关经验，熟悉销售业务模式。3、具有良好的文字编写能力和语言表达能力。4、具有良好的电脑操作技术，能熟练使用各种办公软件（Office等）。5、有一定的沟通协调能力，较好的执行力。
财务,上海氧趣生物科技有限公司,合肥-高新区,6-8千/月,http://jobs.51job.com/hefei-gxq/99559261.html?s=01&t=0,岗位职责：1、全面负责财务部的日常管理工作；2、组织制定财务方面的管理制度及有关规定，并监督执行；3、制定、维护、改进公司财务管理程序和政策，制定年度、季度财务计划；4、负责编制及组织实施财务预算报告，月、季、年度财务报告；5、负责公司全面的资金调配，成本核算、会计核算和分析工作；6、负责资金、资产的管理工作；7、监控可能会对公司造成经济损失的重大经济活动；8、管理与银行及其他机构的关系；9、各类表单资料的整理归档；10、完成领导交给的其他日常事务性工作。
销售跟单,武汉市思泰利医疗器械发展有限公司,武汉,3-3.5千/月,http://jobs.51job.com/wuhan/98990921.html?s=01&t=0,1、接收客户订单，核对确认回复。2、将客户订单的信息制作出库单。3、根据客户的交货排期，制作交货计划并分发给相关部门。4、跟进客户订单的办款和生产进度，如有异常状况及时向上级报告。5、协助品质人员做好客户投诉处理事项。6、订单的发货流通信息和收货确认7、月底与客户进行账期对帐，并对所开票的款项跟进。8、根据当月的销售实际制作月销售报表和分类表。9、同客户保持联系增加沟通，了解客户所需，做好客户服务工作。10、完成上级主管安排的其它临时工作。
新媒体运营,威海零壹网络技术有限公司,威海,3-6千/月,http://jobs.51job.com/weihai/99417409.html?s=01&t=0,1、负责公司及项目的网站、微信、微博等自媒体日常内容编辑、采写、发布；2、协助举办一些社群活动，增加自媒体平台粉丝数，提升社群活跃度；3、挖掘用户的需求，提出并制定合理的用户内容运营策略；4、传播效果监控，包括文章数据、用户数据的收集整理等。任职资格：1、有一定的新媒体编辑经验或想长期从事新媒体工作；2、掌握一般Photoshop、办公软件的基本使用；3、具有较好的新媒体内容创作能力和扎实的文字撰写能力；4、拥有良好的“网感”，在内容编辑上有一定的话题敏感度。加入公司理由：1、年轻人90后团队2、绩效提成按能力分配3、休假灵活4、客户性质全是企业老板或高管
环评编制人员,江苏兴盛环境科学研究院有限公司,无锡-无锡新区,3-4.5千/月,http://jobs.51job.com/wuxi-wxxq/91163035.html?s=01&t=0,"1）在组长领导下，参与编制各类技术文件工作，完成相应的技术报告；2）努力学习专业基础理论知识，提高编写水平；3）编写咨询报告时应严格按照该项目进度的要求完成相应的报告编制工作，并按审核人员、公司领导及评审专家提出的要求进行修改；4）应与业主单位保持良好的沟通，及时主动得向该项目业务负责人汇报项目进度，提出存在的问题和建议解决方案。5) 报批稿如果要修改，技术员自行去环保局听取相关修改意见，并与窗口保持良好沟通，及时修改项目报告。6) 依据合同条款，及时有效地与业主沟通款项事宜，确保款项及时收回。7）做好项目组长的助手，自觉完善各自负责项目的归档工作，包括电子版和文本，并统一提交归档。8）积极完成所组长、部门领导交办的其它工作，并积极参与公司组织的各项活动。任职要求：1、本科及以上学历，环境工程相关专业；2、相关工作经验者优先；3、具备团队管理及下属人员的帮、带、培训经验者优先。4、欢迎环境工程相关专业毕业的应届毕业生到我司实习						"
运维工程师,嘉兴汇智诚电子科技有限公司,异地招聘,0.6-1.2万/月,http://jobs.51job.com/shanghai-mhq/99559268.html?s=01&t=0,"岗位职责 1、负责业务系统的部署和日常更新，日常监控和维护；2、确保业务系统的正常运行及应急响应；3、研究业务系统架构、实现性能优化，提高系统的健壮性； 4、流程改进和运维优化，协助制定和改进部署、维护流程，提高服务运行质量；5、参与系统的监控方案、容灾方案、自动化运维方案的制定和实施； 3、其他支持维护工作；负责测试环境的维护及对日常IT的支持工作。 任职要求：1、大学本科及以上学历，计算机或者相关专业； 2、有2年以上的应用运维或系统开发经验；有大型互联网公司、大型金融机构运维经验者优先。"" 3、精通一门以上脚本语言(shell/perl/python等)；熟悉java/C/C++等开发语言一种及以上；""  4、深入理解linux系统，运维体系结构，精于容量规划、架构设计、性能优化；5、熟悉tomcat、apache、nginx等主流server的原理和配置经验；  对Redis、Zabbix、LVS等有一定的维护经验；熟悉主流自动化运维工具Puppet、Salt、Ansible等优先； 6、思路清晰，善于思考，能独立分析和解决问题； 7、责任心强，具备良好的团队合作精神和承受压力的能力； 对行业技术敏感度高且细致，善于思考，乐于发现，对解决具有挑战性问题充满激情；"
生产操作员,联仕（昆山）化学材料有限公司,昆山,,http://jobs.51job.com/kunshan/96254667.html?s=01&t=0,"岗位要求：1、按时完成生产计划2、严格执行岗位操作规范3、保持良好的工作环境、秩序和卫生，做好现场6S管理4、严格按照公司安全防护措施进行防护5、在巡检时发现异常及时上报6、通过PLC操作进行开车、停止等操作7、定时巡检，并记录数据8、对产品进行取样，并送样至实验室9、主管交代的其他工作岗位要求：1、大专以上学历，应届毕业生也可以，化工相关专业优先考虑2、身体健康，能适应翻班和适当加班3、能够吃苦耐劳，愿意学习，有上进心联系人：张***电话：0512-36828000-8906						"
测控/仪器仪表/工程师,杭州中兴达科技有限公司,杭州-滨江区,3.5-4千/月,http://jobs.51job.com/hangzhou-bjq/91017104.html?s=01&t=0,"职位职能: 测控/仪器仪表/工程师  岗位职责 1、 电网公司变电站环保监测及试验。 现场客户技术培训、维护指导。任职资格要求：1、大专及以上学历，仪器仪表、自动化、电气、环保 等相关专业毕业，1年及以上工作经验； 2、勤奋好学，责任心强，具备沟通协调能力和团队合作意识；3、 能接受长期出差；4、 年薪：1年及以上工作经验，7W左右，具体根据能力面谈。						"
销售储备干部,四川圣迪乐村生态食品股份有限公司,西安-未央区,3.5-5千/月,http://jobs.51job.com/xian-wyq/99559556.html?s=01&t=0,1.应届毕业生，专科以上学历；   2.责任心强，有亲和力；   3.具备良好的沟通协调能力及团队合作意识，学习能力强;  加入圣迪乐村，你将拥有  1.清晰多元的职业发展机会；   2.全面持续的个人成长；   3.灵活多样的培训项目；   4.独立主导挑战性项目的权利 
家装工程经理/项目经理,上海青客公共租赁住房租赁经营管理...,上海-徐汇区,0.8-1万/月,http://jobs.51job.com/shanghai-xhq/99559272.html?s=01&t=0,岗位职责：1、具备组织协调能力；2、根据公司要求，严格审核开工前各类图纸；3、通过系统严格把控每个项目点的工期和施工质量；4、及时跟进每个维修节点及维修结果；5、协调并主导解决跨部门的各类问题；6、根据公司发展制定出工程部发展规划及人员配置任职要求：1、 26-35岁；2、大专以上学历，土木工程或工程管理专业优先考虑；3、3-5年家装工程管理经验请直接电话联系17721047671李经理应聘
品类运营,武汉小药药医药科技有限公司,武汉-江夏区,5-8千/月,http://jobs.51job.com/wuhan-jxq/89573930.html?s=01&t=0
机械设计工程师---芜湖研发中心,法特迪精密科技（苏州）有限公司,芜湖,4-7千/月,http://jobs.51job.com/wuhu/87931177.html?s=01&t=0
知识产权代理人（顾问）,陕西华林知识产权管理有限公司,西安,5-8千/月,http://jobs.51job.com/xian/76416369.html?s=01&t=0
设计助理,西艾斯西石油设备（上海）有限责任...,上海-浦东新区,3.5-5千/月,http://jobs.51job.com/shanghai-pdxq/99559273.html?s=01&t=0,"工作内容： 1，机械设计产品图纸设计工作，CAD二维图纸及solidworks工程图及三维造型设计. 2，产品设计研发，质保文件整理 供应商产品验收及领导安排的相关工作. 3，公司给予完整的职业培训及工作培训 职位要求： 1,大专或以上学历， 机械设计制造,自动化,车辆工程，材料工程类理工科相关专业 . 应往届毕业生均可 2，公司给予完整的职业培训及工作培训 3, 熟悉应用AUTOCAD,SOLIDWORKS, photoshop,,OFFICE,等设计软件. 4，熟悉API6A、6D 、16C ASME标准，有阀门设计或井口采油树装置设计工作经验者优先 5，热爱设计工作，勤于思考,吃苦耐劳热爱设计工作，服从领导安排，责任心强，有团队精神 6，吃苦耐劳，品德优良，身体健康，无黄赌毒等不良嗜好,无违法犯罪等前科 工作时间：8小时工作 周末双休 法定节假日休息"
服装生产跟单员,深圳因一无二服装有限公司,深圳-南山区,6-8千/月,http://jobs.51job.com/shenzhen-nsq/94003719.html?s=01&t=0,职位描述： 1. 同工厂沟通处理品质问题及货期把控2. 有品牌女装的生产技术管理经验，3. 有亲和力，能与同事间保持良性沟通4. 有适应长期工作压力的能力。5. 通过生产流程及质量标准知识，进行生产环节跟进； 6. 能对生产过程中出现的问题做出及时处理，对突发情况要有应变能力7. 对货品后期的跟进，退换货的返修。8. 负责与外协厂的联络，了解外协厂的生产管理和现状； 9. 完成领导安排的其他工作； 任职资格： 1. 25-40岁，专业不限，男女不限； 2. 3年以上同岗位工作经验，熟悉生产跟单、采购、供应链等工作流程； 3. 有良好的沟通能力及表达能力，及成本意识、价值分析能力和预测能力； 4. 了解生产流程及质量标准知识，和生产成品所有所需材料知识及采购、生产周期； 5. 熟悉生产过程中（生产进度跟进），懂服装生产、管理及沟通； 6. 拥有公证、诚实、廉洁、敬业、谦虚等的优良品德； 7. 熟练运用OFFICE办公软件； 8.熟知面辅料采购流程；
外贸主管,美利龙餐厨具（苏州工业园区）有限...,苏州,5-7千/月,http://jobs.51job.com/suzhou/99559559.html?s=01&t=0,1、负责询盘、报盘、样品安排；2、通过公司内部系统下达订单，通知工厂生产；3、跟踪订单生产进度，做好验货及出货的相关准备工作；4、根据客户要求，做好出口相关资料准备，同时与其他部门协调好订舱事宜；5、负责货款或尾款的结算。任职资格：1、大专以上学历，英语四级以上，国际贸易、外贸英语相关专业优先； 2、有十年以上进出口贸易或项目工作经验； 3、熟练操作办公软件和办公自动化设备； 4、熟悉家居生活用品，有不锈钢餐具行业经验者优先考虑。职位录用后将送往美国培训3-6个月，公司承担所有费用，培训期间，中间有一次公费往返探亲机会
销售工程师,上海飞奥燃气设备有限公司,上海-浦东新区,6-8千/月,http://jobs.51job.com/shanghai-pdxq/54436933.html?s=01&t=0
彩票栏目策划,深圳王大虎网络科技有限公司,西安-碑林区,4-5.5千/月,http://jobs.51job.com/xian-blq/99559274.html?s=01&t=0,1.对彩票有多年研究2.了解多种类型彩票玩法3.有一定文字功底，能够通顺的表达出自己的观点4.配合公司策划部门，对彩票栏目制定相关细节
会计,杭州东升建设工程有限公司,杭州-拱墅区,0.3-1万/月,http://jobs.51job.com/hangzhou-gsq/89263072.html?s=01&t=0,"1、	财务会计、金融及相关专业；2、	全日制专科（含）及以上学历,应届生优先；3、	男女不限；4、	责任心强、工作细致、认真、负责、能吃苦；（先在本单位学习锻炼，根据工作需要可能派驻外地）性格开朗，具备良好的沟通能力；遵纪守法、诚实守信，具有良好的个人品质和职业道德；5、	全职，具有会计初级（含）以上职称优先考虑；6、简历发送到303629224@qq.com。7、联系电话：057185158315						"
销售代表,长沙市文景园林景观工程有限公司,长沙-天心区,0.8-1万/月,http://jobs.51job.com/changsha-txq/95415192.html?s=01&t=0,岗位职责1、销售人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、管理客户关系，完成销售任务；3、了解和发掘客户需求及购买愿望，介绍自己产品的优点和特色；4、对客户提供专业的咨询；5、收集潜在客户资料；6、收取应收帐款。任职资格1、学历不限；3、经验不限；4、具备一定的市场分析及判断能力，良好的客户服务意识；5、有责任心，能承受较大的工作压力。
美术老师,钟楼区西林创启装饰建材经营部,常州-天宁区,4-7千/月,http://jobs.51job.com/changzhou-tnq/99559552.html?s=01&t=0,1.  负责教授美术课程的；2、负责与家长就课程问题进行沟通。3. 善于与小孩子相互沟通，善于掌握儿童心理与注意力，能活泼引导儿童；4.热爱教育事业，能很好的控制课堂气氛；岗位要求：1、 大专及以上学历，学前教育、幼儿师范、艺术设计、美术、陶艺等相关专业毕业；2、能独立开展教学者优先，无经验者可培训。公司地址:    天宁区怡康花园小区旁。
销售主管 平均月薪6K以上，稳定,济南泽东通信工程有限公司,济南,6-8千/月,http://jobs.51job.com/jinan/90535452.html?s=01&t=0,"岗位职责：1、通过公司培训：熟练掌握公司新媒体产品知识及销售流程；2、利用网络电话进行公司产品的销售及推广；热爱销售工作3、负责公司网上平台的操作管理和产品信息的发布；4、协调公司内部资源，提高客户满意度，定时对客户进行电话回访；5、维护客户关系，为咨询的客户提供专业的帮助与业务解析，带领团队邀约客户并推销产品，洽谈合作。6、带领团队通过网络及电话进行渠道开发和业务拓展；7、根据市场营销计划，完成销售业绩指标；任职要求：1、大专以上学历；22岁-35岁，（性别不限）2、热爱销售工作，形象好，普通话标准，声音清晰；3、1-2年以上销售行业工作经验，业绩突出者优先；4、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；5、具备一定的市场分析及判断能力，良好的客户服务意识；6、具有团队协作精神，善于挑战。责任心强薪资待遇1入职后带薪培训，有专人一对一指导。2薪资=无责任底薪 +团队奖金+五险。月薪》6000++。一年以上月薪》8000以。3任职满5年可晋升营销副总，享受干股分红并参与公司重大项目决策。4工作时间：8：30-17：30。午休时间：12:00-13：30。、5周日统一休息。年内可能调整为双休。6法定节假日带薪休息并有相应的节日福利。7 如节假日加班三倍工资8.参与公司定期的管理培训以及带薪旅游休假招聘热线：18615237896  梁主管						"
售前/售后技术支持工程师,武汉科优达科技有限公司,武汉-洪山区,4-6千/月,http://jobs.51job.com/wuhan-hsq/92864682.html?s=01&t=0,岗位职责1、在市场推广活动中负责软件功能演示和方案讲解；2、负责公司软件产品的安装、调试及售前售后技术支持工作； 3、收集客户需求，处理客户协调工作；4、编写和修订相关文档；任职要求：1、计算机专业大专以上学历，三年以上技术支持工作经验，普通话标准；2、良好的沟通和服务意识，较强的独立分析问题和解决问题的能力；3、熟悉软件工程，相关集成产品，精通安装环境配置，系统调试，安装过程；4、具备良好的网络技术基础，熟悉TCP/IP协议和日常网络操作； 5、强烈的责任感和很好的团队合作精神，具备很强的自学能力，能够承受工作压力；6、有信息技术教学经验者优先录用，且福利待遇优；7、薪酬待遇：月薪4000-6000元/月+项目提成；年终奖丰厚。年收入可达到8-10万！如未达到以上要求，请勿随意投递简历，谢谢！
人事专员,大连天添健健康管理有限公司,大连,2-3千/月,http://jobs.51job.com/dalian/62571013.html?s=01&t=0,岗位职责：◆设计工作1、负责公司对外宣传材料的平面设计工作2、负责公司公众号版面整体风格及文章内容的平面设计工作3、负责公司大型活动的企划用品设计4、领导安排的其他事宜。福利待遇：1.提供食宿2.***3.带薪年假及年终奖金4.丰富多彩的员工业余活动5.为员工父母颁发孝亲奖，优质产品孝顺父母6.公平公正的晋升机制，见证自己的成长与收获7.优秀员工更有机会晋升至全国市场，拥有更加广阔的事业平台 联系人：管女士公司人事部：0411-39856882 13909851028
销售经理,黑风文化传媒有限公司,深圳,1.5-2万/月,http://jobs.51job.com/shenzhen/99555301.html?s=01&t=0,岗位职责：1.根据公司业务发展需要，制定销售部门的销售目标和计划，并带领团队保质保量完成销售目标。 2.制定并执行部门销售策略，开拓市场销售渠道，发觉潜在目标群体，让产品更好销售出去； 3.熟悉销售技巧，分析目标客户的心理，定期内训，提升团队销售团队战斗力； 4.每一个客户资料都要做好记录，同时做好客户回访工作，代表公司为客户做各项服务工作； 5.定期建立客户跟踪表，定期跟踪客户，做好客户反馈意见登记，将情况和客户意见反馈上级； 6.收集潜在客户资料和新客户资料，分析客户的需求情况，为销售工作做好准备； 7.分析市场销售竞争对手，发掘潜在竞争对手和竞争市场。
电话销售（底薪4000元+高提成）,八爪兽（广州）信息科技有限公司,广州-天河区,0.7-2万/月,http://jobs.51job.com/guangzhou-thq/99393082.html?s=01&t=0,"岗位职责：1、通过各种途径搜集、挖掘公司潜在客户需求信息并提供售前咨询；2、通过电话，网络，拜访等形式给予客户专业产品知识的讲解，提高客户使用满意度；3、对客户群体进行开发，建立客户关系，促成签单，完成销售任务；4、实施客户跟进服务，提供完善的售前售后服务；5、协助经理处理部门事物，处理经理交办事宜。 任职要求：1、年龄21-30岁；2、富有开拓精神和团队精神，渴望成功，善于学习；3、积极热情、人品端正、心理素质佳、有较强的抗压能力；4、愿意从事互联网销售的工作，立志在互联网行业长期发展；5、熟悉热爱互联网，有在互联网公司从事过销售工作者优先。  以上职位一经录用，公司将提供广阔的发展空间和完善的福利待遇：1. 薪酬：阶梯式底薪+提成+奖金（平均月薪8000元以上,）2. 福利：带薪年假+节日福利+法定节假日休息+各项专业培训+不定期员工旅游3. 晋升：每一至两个月一次级别晋升及加薪机会4. 员工职业发展空间：销售代表―高级销售代表―大客户业务经理―高级大客户业务经理―资深大客户业务经理―业务主管―销售经理―高级销售经理―商务总监"
消防维保巡检员,天津市博安消防工程有限公司,天津-河西区,3-4.5千/月,http://jobs.51job.com/tianjin-hxq/98106181.html?s=01&t=0,"1、具有大专以上学历，应届毕业生亦可。2、主要负责消防维保范围内的检测工作。3、对消防工作有经验者优先。						"
高校实习基地招实习生（2K-5K多岗位可选）,江苏赛普网络技术有限公司,常州-钟楼区,3-4.5千/月,http://jobs.51job.com/changzhou-zlq/98069255.html?s=01&t=0
采购助理,深圳市锐凌光电有限公司,深圳-龙华新区,3-4.5千/月,http://jobs.51job.com/shenzhen-lhxq/93954799.html?s=01&t=0,"岗位要求：1、有采购工作经验1年以上（有同行业经验优先）；2、高中或以上文化，数据观念强；3、有保密意识和团队协作精神；4、精通交期管理，进度跟进，沟通协调；5、有相关法律知识、廉洁自律。						"
机械装配工,深圳前海久禾科技发展有限公司,深圳-龙岗区,4-6千/月,http://jobs.51job.com/shenzhen-lgq/99559564.html?s=01&t=0,1.能看懂零件图，装配图；2.熟悉工作原理，并严格按照工艺规定的质量要求操作；任职资格：1、应届生也可，有锂电池行业从业经验者优先；2、具有一定机械常识；3、能正确执行安全操作规程；4、工作认真负责，吃苦耐劳，服从安排；
会计(盐城),上海惠浦胶粘科技有限公司,异地招聘,3-4.5千/月,http://jobs.51job.com/yancheng/99201726.html?s=01&t=0,会计职位：1.熟悉相关会计、税务的法律、法规，企业财务制度及流程；2.现金及银行收付处理，制作记帐凭证，银行对帐，单据审核；3.编制月度增值税、企业会计报表、季度企业所得税申报表并完成相关税务申报；年终编制年度报表，所得税汇算清缴；4.审批公司的费用报销、付款申请等单据；负责与银行、税务等部门的对外联络；5.熟悉成本核算方法，成本管理和成本控制；6.完成领导交代的其他日常事务性工作。任职资格：1、财务，会计，经济等相关专业高中以上学历，具有会计任职资格；2、具有扎实的会计基础知识和三年以上财会工作经验，；3、熟悉用友或其他财务软件的操作；EXCEL操作能力强；4、具有较强的独立学习和工作的能力团队合作精神，工作踏实，认真细心，积极主动；5、上班地点在江苏盐城，有丰富工作经验者可面议；6、简历请发送至邮箱252175775@qq.com
销售代表,无锡鑫华控阀业有限公司,异地招聘,4-5万/年,http://jobs.51job.com/kunming/90347018.html?s=01&t=0,1、负责本公司产品在云南的销售和开拓；2、结合市场，拟定销售计划，完成公司既定的销售任务；3、负责销售区域内销售活动的策划和执行；4、完成部分技术支持工作，与客户技术交流，收集市场和行业信息。
文案策划主管,上海荷裕冷冻食品有限公司,上海-奉贤区,0.8-1万/月,http://jobs.51job.com/shanghai-fxq/99559285.html?s=01&t=0,1、能够完成项目文案撰写；　　   2、主动跟进项目工程进度，收集并整理相关资料；　　   3、配合公司品牌部分文案撰写；　　   4、参与项目创意策略讨论，提出建议；　　5、参与项目的创意讨论，提出合理化的创意观点；　　6、配合上级完成相关创意的文字表现工作；　　  7、主动收集其它广告公司的优秀广告作品；　　  8、配合上级进行区域竞品的广告表现分析；　　 9、完成领导布置的其它工作内容。　　文案策划岗位要求如下：　　1、大专及以上学历， 3-4年以上相关工作经历 ；　　2、良好的写作功底，过硬的文字驾驭能力 ， 具有一定的的市场分析能力 ；　　3、具有发散型创意思维，善于独立思考，善于沟通，并具备良好的团队合作意识；　　   4 、了解互联网及各类推广方式，能够熟练撰写发布各类稿件；　　5 、熟悉市场推广、品牌策划、活动策划的整个流程。
高级销售经理,沈阳北站智选假日酒店,沈阳-沈河区,3-4.5千/月,http://jobs.51job.com/shenyang-shq/93201489.html?s=01&t=0,"?	对于酒店分配的销售任务负责，包括收入指标和客户开发、维护指标?	拜访调查并筛选潜在的新客户，按时完成新客户的开发指标及产出指标?	创建客户档案并积累客户资料，按照要求定期制定并执行销售拜访计划?	按时完成销售报告、总结，（包括日、周、月）?	管理个人的销售成本、维护并挖潜在及现有客户、定期拜访、宴请主要客户?	调查市场信息，了解竞争对手的相关情况，并向经理汇报?	参与并执行相关促销活动、准备每月的客户和产量评估工作?	按时回复客户的致询、关注在店的重点客户和大型活动?	参与预算制订过程						"
项目建筑设计师(5910),旭辉集团武汉公司,武汉,2-2.5万/月,http://jobs.51job.com/wuhan/99559567.html?s=01&t=0,岗位职责：1、负责项目建筑设计方案、设计院对接管理；2、配和报建人员推动项目方案报规及报建工作；3、统筹项目其他设计专业工作。任职要求：1、建筑相关专业本科及以上学历；2、5年以上相关岗位工作经验，具备专业的项目管理知识、设计专业知识和一定的工程造价管理知识，具有乙方工作经验优先。
平安综合金融业务专员,中国平安人寿保险股份有限公司安徽...,合肥-庐阳区,4.5-6千/月,http://jobs.51job.com/hefei-lyq/98359847.html?s=01&t=0,1、负责客户储蓄卡到行开户，储蓄，理财等指导办理2、负责客户证券开户，及APP的下载和指导使用3、评审贷款客户资质，整理提交信贷资料，帮助客户办理贷款4、服务客户，代办信用卡任职资格：1、大专及以上学历，金融、经济、金融数学、银行业务等相关专业；2、了解金融学、经济学、金融数据统计原理；3、清晰的逻辑思维能力，良好的语言表达能力和文字组织能力；4、具有严谨的工作态度和团队协作精神。待遇：1、底薪+业绩提成（无封顶）+季度奖+年终奖，等等；2、双休，法定节假日休息；3、每年有免费国内、外旅游的机会；4、一经录用转正，公司将提供行业内专业的带薪技能培训。5、表现优秀者入职6个月起可晋升主管，享受星级酒店的主任培训。工作地址安徽省合肥市庐阳区金龙国际
IT Control Engineer(IT控制工程师),康宁（海南）光通信有限公司,海口,1.5千以下/月,http://jobs.51job.com/haikou/99559895.html?s=01&t=0
QA工程师,德钾盐（葫芦岛）镁业有限公司,异地招聘,4-6千/月,http://jobs.51job.com/huludao/93905167.html?s=01&t=0,"任职要求：Requirement：1.	学士学位, 专业为质量、或其他工科专业Bachelor degree or above, major in quality or other engineering.2.	5年以上质量保证相关的工作经验5 years or above quality assurance management experience.3.	熟悉审核程序，有相应领域经验者优先Familiar with Audit program, related area experience are preferred.4.	熟悉ISO9001和ISO4001体系，质量管理工具，并能熟练应用Familiar with ISO9001and ISO14001, quality management tools and working experience.5.	熟悉风险管理工具,并能熟练运用Familiar with Risk Management tools and work experience.6.	较强的独立解决问题的能力Strong ability of solving problem independently.7.	熟练使用Office、CAD软件，熟悉工程设计软件者优先。Familiar with Office、CAD software， engineering design software is preferred.8.	英语四级以上优先English CET- 4 is preferred;9.	较强的沟通和表达能力Strong communication and expression skill.职位要求：Job Description：1.	维护公司现有质量保证体系, 内部审核和监视QMS正常运行，并确保在各管理层都能很好的理解和应用。Maintain applying QA System of the organization, Monitor and review by internal audit that QMS is implemented and well understood and implemented by all levels.2.	维护质量文件管理系统Maintain applying Quality documentation management system.3.	跟进客户投诉Follow Customer Complaints.4.	跟踪完成质量源活动Follow Quality Activities including Quality at Source, etc.5.	跟踪完成纠正预防措施Follow Corrective Actions, Manage Risk and Opportunity.6.	协调组织外部审核Coordinate/ organize external audits.7.	引导过程改善Lead process improvement process.8.	质量数据分析Statistic and analyze quality data.9.	过程和特殊项目的风险管理Perform the risk analysis/audit to project or process.10.  组织安排必要的质量保证培训Organize necessary QA trainings.						"
出版员（CTP）,佛山市天添润彩印有限公司,佛山-南海区,3-4千/月,http://jobs.51job.com/foshan-nhq/99559569.html?s=01&t=0,1.中专以上学历，设计或出版相关专业；2.两年以上排版制作经验，熟练CDR/PS/AI等设计软件；3.熟练印前输出菲林、印刷流程及工艺要求；4.做事认真负责，善于理解客户文件的印刷要求；5.印刷出版学校毕业及设计专业应届生可择优录取；6.有印刷厂工作经验及掌握对印刷颜色判断和专色分色更佳。联系人：虞先生联系电话：13070280888公司地址:佛山市南海区里水镇和顺大道自编2号
文员,喜来健医疗器械（北京）有限公司,北京-朝阳区,3-8千/月,http://jobs.51job.com/beijing-cyq/74404422.html?s=01&t=0
营销总监,文鑫科技有限公司,郑州-二七区,1.5-2万/月,http://jobs.51job.com/erqiqu/99559297.html?s=01&t=0,"岗位职责:1、了解市场信息,以顾问式销售模式开展公司产品（财务、税务系统，财务配套和硬件设备，软件服务等）销售工作;2、负责客户日常关系维护;3、负责销售部门，对销售部门人员日常管理、考核、能力提上工作。4、建立、维护、扩大销售客户群，完成销售目标、对销售部业绩负责。5、协助总经理开展日常工作。任职资格：1、大专以上学历,会计、计算机、市场营销、电子商务等相关专业,有软件行业相关经验;2、有较强的市场开拓能力、优秀的电话销售技巧和语言表达能力3、有上进心、有激情、勤奋、正直;4、有良好的沟通能力和适应能力;5、致力于在销售上有所突破与发展,寻求自我价值实现,有强烈事业心;备注:有电力系统、税务系统、财政系统软件销售经验者优先,若有同IT行业销售经验者条件可适度放宽。"
行政助理、文员(实习生）,福建省万博人力资源管理有限公司,福州,2-3千/月,http://jobs.51job.com/fuzhou/98959263.html?s=01&t=0,★★★（实习生）1、应届毕业生或者实习生，男女不限，身体健康；2、口才佳、思维敏捷、性格活泼开朗，有高度的责任心；3、负责人才网资料录入，打字速度50字/分；4、完成领导交办的其他任务；5、工作优秀者毕业后可留在本公司工作。▲面试时间：2018年3月1日―31日全天。▲面试地点：福州市东街口东百大厦15层（万博人力资源有限公司）。携带毕业证（学生证）、身份证复印件。▲电话：0591―87518239 联系人： 许小姐▲▲▲ 欢迎注册339人才网， www.339rc.com
软件工程师,黑龙江永诚商品交易中心有限公司,哈尔滨-南岗区,3-6.9千/月,http://jobs.51job.com/hadongbin-ngq/99559575.html?s=01&t=0,岗位要求：2年以上工作经验，从事过金融、大宗商品行业IT信息工作优先
销售经理,云南腾道科技有限责任公司,昆明-官渡区,4.5-6千/月,http://jobs.51job.com/kunming-gdq/99559295.html?s=01&t=0,工作职责：1. 发现和发掘客户需求，协助技术部门制定项目前期方案，完成销售业绩；2. 开拓和维护客户关系；3. 收集市场、客户和竞争对手的信息；4. 反馈项目中客户的投诉和建议。职位要求：1. 本科以上学历，有计算机软件、电力、水利行业销售经验者优先录取；2. 具备良好的品德与职业道德；3. 具备优秀的客户沟通能力、出色的影响与说服能力；4. 优秀的学习能力和分析判断能力；5. 能承受必要的工作压力，能适应经常出差；6. 具有团队合作能力。
